code,company_name,sector,first_year,last_year,basis
MAM,Mercury Asset Management,Financials,1996,1996,"GICS-style classification, reconstructed 2026-08-26"
MAX,Maxwell Communications,Communication Services,1987,1990,"GICS-style classification, reconstructed 2026-08-26"
MCRO,Micro Focus International,Information Technology,2016,2018,"GICS-style classification, reconstructed 2026-08-26"
MDC,Mediclinic International,Health Care,2016,2017,"GICS-style classification, reconstructed 2026-08-26"
MEPC,MEPC,Real Estate,1983,1994,"GICS-style classification, reconstructed 2026-08-26"
MERL,Merlin Entertainments,Consumer Discretionary,2015,2016,"GICS-style classification, reconstructed 2026-08-26"
MFI,MFI Furniture Group,Consumer Discretionary,1983,1983,"GICS-style classification, reconstructed 2026-08-26"
MGGT,Meggitt,Industrials,2011,2021,"GICS-style classification, reconstructed 2026-08-26"
MID,Midland Bank,Financials,1983,1991,"GICS-style classification, reconstructed 2026-08-26"
MKS,MARKS & SPENCER GROUP PLC,Consumer Staples,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
MNDI,MONDI PLC,Materials,2013,2024,"GICS-style classification, reconstructed 2026-08-26"
MNG,M&G PLC,Financials,2019,2024,"GICS-style classification, reconstructed 2026-08-26"
MONI,Marconi,Information Technology,1999,2000,"GICS-style classification, reconstructed 2026-08-26"
MRO,MELROSE INDUSTRIES PLC,Industrials,2012,2024,"GICS-style classification, reconstructed 2026-08-26"
MRW,Morrison Supermarkets,Consumer Staples,2001,2020,"GICS-style classification, reconstructed 2026-08-26"
MSY,Misys,Information Technology,1999,2000,"GICS-style classification, reconstructed 2026-08-26"
NFC,NFC,Industrials,1991,1992,"GICS-style classification, reconstructed 2026-08-26"
NFDS,Northern Foods,Consumer Staples,1983,1992,"GICS-style classification, reconstructed 2026-08-26"
NG.,NATIONAL GRID PLC,Utilities,1995,2024,"GICS-style classification, reconstructed 2026-08-26"
NGG,Lattice Group,Utilities,2000,2001,"GICS-style classification, reconstructed 2026-08-26"
NMC,NMC Health,Health Care,2017,2019,"GICS-style classification, reconstructed 2026-08-26"
NPR,National Power,Utilities,1991,1999,"GICS-style classification, reconstructed 2026-08-26"
NRK,Northern Rock,Financials,2001,2006,"GICS-style classification, reconstructed 2026-08-26"
NU.,Norwich Union Plc,Financials,1997,1999,"GICS-style classification, reconstructed 2026-08-26"
NWG,NATWEST GROUP PLC,Financials,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
NXT,NEXT PLC,Consumer Discretionary,1987,2024,"GICS-style classification, reconstructed 2026-08-26"
OCDO,Ocado Group,Consumer Staples,2018,2023,"GICS-style classification, reconstructed 2026-08-26"
OML,Old Mutual,Financials,1999,2017,"GICS-style classification, reconstructed 2026-08-26"
OOM,O2,Communication Services,2001,2005,"GICS-style classification, reconstructed 2026-08-26"
ORA,Orange Plc,Communication Services,1996,1998,"GICS-style classification, reconstructed 2026-08-26"
PFC,Petrofac,Energy,2009,2013,"GICS-style classification, reconstructed 2026-08-26"
PFG,Provident Financial,Financials,2015,2016,"GICS-style classification, reconstructed 2026-08-26"
PHNX,PHOENIX GROUP HOLDINGS PLC,Financials,2019,2024,"GICS-style classification, reconstructed 2026-08-26"
PILK,Pilkington,Industrials,1983,1995,"GICS-style classification, reconstructed 2026-08-26"
PNN,Pennon Group,Utilities,2020,2020,"GICS-style classification, reconstructed 2026-08-26"
